,TIME_PERIOD,OBS_VALUE
0,1960,937.430633
1,1961,1098.019214
2,1962,1100.36606
3,1963,1030.782095
4,1964,657.375306
5,1965,831.849828
6,1966,953.561793
7,1967,1054.152607
8,1968,1703.534088
9,1969,1335.3541380000001
10,1970,1633.699098
11,1971,1494.1749439999999
12,1972,1462.7089290000001
13,1973,1802.081663
14,1974,2949.006252
15,1975,2655.854972
16,1976,2923.6441839999998
17,1977,2073.535883
18,1978,2172.349761
19,1979,2605.193544
20,1980,2682.478319
21,1981,3252.2856859999997
22,1982,2768.783072
23,1983,4373.308304
24,1984,5720.912222
25,1985,10889.398674
26,1986,8244.267285
27,1987,6653.124834
28,1988,9980.944877
29,1989,7128.272999
30,1990,8382.9533
31,1991,8617.231685
32,1992,9012.693992
33,1993,8464.862576
34,1994,8684.846362
35,1995,6542.793603
36,1996,5999.191062
37,1997,4623.457759
38,1998,5411.258984
39,1999,5100.964886
40,2000,5803.679543
41,2001,9004.068531
42,2002,10549.22835
43,2003,11879.488065
44,2004,12414.348275
45,2005,12851.61483
46,2006,12583.624106
47,2007,14620.052811
48,2008,18689.427228
49,2009,21820.72999
50,2010,15810.066722
51,2011,18808.101117000002
52,2012,17813.795243
53,2013,20606.869395
54,2014,19126.864965
55,2015,18881.979311
56,2016,24454.91845
57,2017,24507.044275
58,2018,27868.584292
59,2019,26917.302126
60,2020,30114.086459
61,2021,21936.284342000003
62,2022,26421.936971
63,2023,28363.159764
64,2024,355.773154
